Number,Team,Transaction,DateTime,Empty
1687,2,Denya Litvin was added to Team 2.,2022-07-20 6:13:02 PM,
1688,2,Denya Litvin was picked by Team 2 as the 844 overall pick in the fantasy draft.,2022-07-20 6:13:02 PM,
1689,15,Jiri Hlavacek was added to Team 15.,2022-07-20 6:13:02 PM,
1690,15,Jiri Hlavacek was picked by Team 15 as the 845 overall pick in the fantasy draft.,2022-07-20 6:13:02 PM,
1691,7,Emile Malik was added to Team 7.,2022-07-20 6:13:02 PM,
1692,7,Emile Malik was picked by Team 7 as the 846 overall pick in the fantasy draft.,2022-07-20 6:13:02 PM,
1693,21,Joe Manning was added to Team 21.,2022-07-20 6:13:02 PM,
1694,21,Joe Manning was picked by Team 21 as the 847 overall pick in the fantasy draft.,2022-07-20 6:13:02 PM,
1695,14,Clarence Singh was added to Team 14.,2022-07-20 6:13:02 PM,
1696,14,Clarence Singh was picked by Team 14 as the 848 overall pick in the fantasy draft.,2022-07-20 6:13:02 PM,
1697,23,Riku Helenius was added to Team 23.,2022-07-20 6:13:02 PM,
1698,23,Riku Helenius was picked by Team 23 as the 849 overall pick in the fantasy draft.,2022-07-20 6:13:02 PM,
1699,13,Kaj Glans was added to Team 13.,2022-07-20 6:13:02 PM,
1700,13,Kaj Glans was picked by Team 13 as the 850 overall pick in the fantasy draft.,2022-07-20 6:13:02 PM,
1701,20,Kevin Pratt was added to Team 20.,2022-07-20 6:13:02 PM,
1702,20,Kevin Pratt was picked by Team 20 as the 851 overall pick in the fantasy draft.,2022-07-20 6:13:02 PM,
1703,4,Khazan Matvienko was added to Team 4.,2022-07-20 6:13:02 PM,
1704,4,Khazan Matvienko was picked by Team 4 as the 852 overall pick in the fantasy draft.,2022-07-20 6:13:02 PM,
1705,24,Joshua Kane was added to Team 24.,2022-07-20 6:13:02 PM,
1706,24,Joshua Kane was picked by Team 24 as the 853 overall pick in the fantasy draft.,2022-07-20 6:13:02 PM,
1707,8,Glen Mccann was added to Team 8.,2022-07-20 6:13:03 PM,
1708,8,Glen Mccann was picked by Team 8 as the 854 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1709,18,Yusup Medvedeva was added to Team 18.,2022-07-20 6:13:03 PM,
1710,18,Yusup Medvedeva was picked by Team 18 as the 855 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1711,22,Eduard Simon was added to Team 22.,2022-07-20 6:13:03 PM,
1712,22,Eduard Simon was picked by Team 22 as the 856 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1713,9,Sultan Bondarev was added to Team 9.,2022-07-20 6:13:03 PM,
1714,9,Sultan Bondarev was picked by Team 9 as the 857 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1715,19,Larry Porter was added to Team 19.,2022-07-20 6:13:03 PM,
1716,19,Larry Porter was picked by Team 19 as the 858 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1717,3,Hilmar Roth was added to Team 3.,2022-07-20 6:13:03 PM,
1718,3,Hilmar Roth was picked by Team 3 as the 859 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1719,5,Gilles Levasseur was added to Team 5.,2022-07-20 6:13:03 PM,
1720,5,Gilles Levasseur was picked by Team 5 as the 860 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1721,17,Steeve Mcrae was added to Team 17.,2022-07-20 6:13:03 PM,
1722,17,Steeve Mcrae was picked by Team 17 as the 861 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1723,12,Carl Gingras was added to Team 12.,2022-07-20 6:13:03 PM,
1724,12,Carl Gingras was picked by Team 12 as the 862 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1725,6,Steve Downey was added to Team 6.,2022-07-20 6:13:03 PM,
1726,6,Steve Downey was picked by Team 6 as the 863 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1727,10,Fabien Serres was added to Team 10.,2022-07-20 6:13:03 PM,
1728,10,Fabien Serres was picked by Team 10 as the 864 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1729,10,Glen Durand was added to Team 10.,2022-07-20 6:13:03 PM,
1730,10,Otso Suutari was picked by Team 10 as the 865 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1731,6,Alan Fernandes was added to Team 6.,2022-07-20 6:13:03 PM,
1732,6,Otso Suutari was picked by Team 6 as the 866 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1733,12,Ilfat Dolgova was added to Team 12.,2022-07-20 6:13:03 PM,
1734,12,Otso Suutari was picked by Team 12 as the 867 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1735,17,Adrien Butt was added to Team 17.,2022-07-20 6:13:03 PM,
1736,17,Otso Suutari was picked by Team 17 as the 868 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1737,5,Marik Borisenko was added to Team 5.,2022-07-20 6:13:03 PM,
1738,5,Otso Suutari was picked by Team 5 as the 869 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1739,3,Calvin Jimenez was added to Team 3.,2022-07-20 6:13:03 PM,
1740,3,Otso Suutari was picked by Team 3 as the 870 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1741,19,Jimmie Back was added to Team 19.,2022-07-20 6:13:03 PM,
1742,19,Otso Suutari was picked by Team 19 as the 871 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1743,9,Brett Montgomery was added to Team 9.,2022-07-20 6:13:03 PM,
1744,9,Otso Suutari was picked by Team 9 as the 872 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1745,22,Aaron Glenn was added to Team 22.,2022-07-20 6:13:03 PM,
1746,22,Otso Suutari was picked by Team 22 as the 873 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1747,18,Jouko Jarvenpaa was added to Team 18.,2022-07-20 6:13:03 PM,
1748,18,Otso Suutari was picked by Team 18 as the 874 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1749,8,Michael Hovgaard was added to Team 8.,2022-07-20 6:13:03 PM,
1750,8,Otso Suutari was picked by Team 8 as the 875 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1751,24,Kalle Virta was added to Team 24.,2022-07-20 6:13:03 PM,
1752,24,Otso Suutari was picked by Team 24 as the 876 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1753,4,Kent Mcbride was added to Team 4.,2022-07-20 6:13:03 PM,
1754,4,Otso Suutari was picked by Team 4 as the 877 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1755,20,Wally Mckenna was added to Team 20.,2022-07-20 6:13:03 PM,
1756,20,Otso Suutari was picked by Team 20 as the 878 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1757,13,Christian Bauer was added to Team 13.,2022-07-20 6:13:03 PM,
1758,13,Otso Suutari was picked by Team 13 as the 879 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1759,23,Benjamin Mullins was added to Team 23.,2022-07-20 6:13:03 PM,
1760,23,Otso Suutari was picked by Team 23 as the 880 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1761,14,Pentti Lahti was added to Team 14.,2022-07-20 6:13:03 PM,
1762,14,Otso Suutari was picked by Team 14 as the 881 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1763,21,Adnan Sunden was added to Team 21.,2022-07-20 6:13:03 PM,
1764,21,Otso Suutari was picked by Team 21 as the 882 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1765,7,Ayrat Fyodorova was added to Team 7.,2022-07-20 6:13:03 PM,
1766,7,Otso Suutari was picked by Team 7 as the 883 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1767,15,Dustin Escobar was added to Team 15.,2022-07-20 6:13:03 PM,
1768,15,Otso Suutari was picked by Team 15 as the 884 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1769,2,Francis Santos was added to Team 2.,2022-07-20 6:13:03 PM,
1770,2,Otso Suutari was picked by Team 2 as the 885 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1771,16,Randy Leclair was added to Team 16.,2022-07-20 6:13:03 PM,
1772,16,Otso Suutari was picked by Team 16 as the 886 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1773,1,Stefan Vavrova was added to Team 1.,2022-07-20 6:13:03 PM,
1774,1,Otso Suutari was picked by Team 1 as the 887 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1775,11,Cliff Reynolds was added to Team 11.,2022-07-20 6:13:03 PM,
1776,11,Otso Suutari was picked by Team 11 as the 888 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1777,11,Jay Wolfe was added to Team 11.,2022-07-20 6:13:03 PM,
1778,11,Stuart Stafford was picked by Team 11 as the 889 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1779,1,Takhir Rogova was added to Team 1.,2022-07-20 6:13:03 PM,
1780,1,Stuart Stafford was picked by Team 1 as the 890 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1781,16,Lars-Olof Haddad was added to Team 16.,2022-07-20 6:13:03 PM,
1782,16,Stuart Stafford was picked by Team 16 as the 891 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1783,2,Ghislain Gilbert was added to Team 2.,2022-07-20 6:13:03 PM,
1784,2,Stuart Stafford was picked by Team 2 as the 892 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1785,15,Duncan Houle was added to Team 15.,2022-07-20 6:13:03 PM,
1786,15,Stuart Stafford was picked by Team 15 as the 893 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1787,7,Ron Munoz was added to Team 7.,2022-07-20 6:13:03 PM,
1788,7,Stuart Stafford was picked by Team 7 as the 894 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1789,21,Charlie Bush was added to Team 21.,2022-07-20 6:13:03 PM,
1790,21,Stuart Stafford was picked by Team 21 as the 895 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1791,14,Albert Comeau was added to Team 14.,2022-07-20 6:13:03 PM,
1792,14,Otso Suutari was picked by Team 14 as the 896 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1793,23,Rudy Lachance was added to Team 23.,2022-07-20 6:13:03 PM,
1794,23,Otso Suutari was picked by Team 23 as the 897 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1795,13,Andreas Cullen was added to Team 13.,2022-07-20 6:13:03 PM,
1796,13,Otso Suutari was picked by Team 13 as the 898 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1797,20,Wilson Higgins was added to Team 20.,2022-07-20 6:13:03 PM,
1798,20,Otso Suutari was picked by Team 20 as the 899 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1799,4,Justin Durisova was added to Team 4.,2022-07-20 6:13:03 PM,
1800,4,Otso Suutari was picked by Team 4 as the 900 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1801,24,Ilari Hukkanen was added to Team 24.,2022-07-20 6:13:03 PM,
1802,24,Otso Suutari was picked by Team 24 as the 901 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1803,8,Manuel Friedman was added to Team 8.,2022-07-20 6:13:03 PM,
1804,8,Otso Suutari was picked by Team 8 as the 902 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1805,18,Arne Anderson was added to Team 18.,2022-07-20 6:13:03 PM,
1806,18,Otso Suutari was picked by Team 18 as the 903 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1807,22,Stewart Weber was added to Team 22.,2022-07-20 6:13:03 PM,
1808,22,Otso Suutari was picked by Team 22 as the 904 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1809,9,Justin Barnes was added to Team 9.,2022-07-20 6:13:03 PM,
1810,9,Otso Suutari was picked by Team 9 as the 905 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1811,19,Preben Brandt was added to Team 19.,2022-07-20 6:13:03 PM,
1812,19,Otso Suutari was picked by Team 19 as the 906 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1813,3,Gilberto Stephens was added to Team 3.,2022-07-20 6:13:03 PM,
1814,3,Otso Suutari was picked by Team 3 as the 907 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1815,5,Roland Toews was added to Team 5.,2022-07-20 6:13:03 PM,
1816,5,Otso Suutari was picked by Team 5 as the 908 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1817,17,Rod Malone was added to Team 17.,2022-07-20 6:13:03 PM,
1818,17,Otso Suutari was picked by Team 17 as the 909 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1819,12,Michel Zackrisson was added to Team 12.,2022-07-20 6:13:03 PM,
1820,12,Otso Suutari was picked by Team 12 as the 910 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1821,6,Mohammed Krook was added to Team 6.,2022-07-20 6:13:03 PM,
1822,6,Otso Suutari was picked by Team 6 as the 911 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1823,10,Carl Sahlen was added to Team 10.,2022-07-20 6:13:03 PM,
1824,10,Otso Suutari was picked by Team 10 as the 912 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1825,10,Julien Boyd was added to Team 10.,2022-07-20 6:13:03 PM,
1826,10,Calvin Peterson was picked by Team 10 as the 913 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1827,6,Cory Terrell was added to Team 6.,2022-07-20 6:13:03 PM,
1828,6,Calvin Peterson was picked by Team 6 as the 914 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1829,12,Nigel Albert was added to Team 12.,2022-07-20 6:13:03 PM,
1830,12,Calvin Peterson was picked by Team 12 as the 915 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1831,17,Lee Todd was added to Team 17.,2022-07-20 6:13:03 PM,
1832,17,Calvin Peterson was picked by Team 17 as the 916 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1833,5,Carlo Wegener was added to Team 5.,2022-07-20 6:13:03 PM,
1834,5,Calvin Peterson was picked by Team 5 as the 917 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1835,3,Andreas Slovakova was added to Team 3.,2022-07-20 6:13:03 PM,
1836,3,Calvin Peterson was picked by Team 3 as the 918 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1837,19,Ossi Korkiakoski was added to Team 19.,2022-07-20 6:13:03 PM,
1838,19,Calvin Peterson was picked by Team 19 as the 919 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1839,9,Henri Daniels was added to Team 9.,2022-07-20 6:13:03 PM,
1840,9,Calvin Peterson was picked by Team 9 as the 920 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1841,22,Justin Klein was added to Team 22.,2022-07-20 6:13:03 PM,
1842,22,Calvin Peterson was picked by Team 22 as the 921 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1843,18,Les Colon was added to Team 18.,2022-07-20 6:13:03 PM,
1844,18,Calvin Peterson was picked by Team 18 as the 922 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1845,8,Morris Dueck was added to Team 8.,2022-07-20 6:13:03 PM,
1846,8,Calvin Peterson was picked by Team 8 as the 923 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1847,24,Ilnur Kononenko was added to Team 24.,2022-07-20 6:13:03 PM,
1848,24,Calvin Peterson was picked by Team 24 as the 924 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1849,4,Jacob Duguay was added to Team 4.,2022-07-20 6:13:03 PM,
1850,4,Calvin Peterson was picked by Team 4 as the 925 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1851,20,Vic Ethier was added to Team 20.,2022-07-20 6:13:03 PM,
1852,20,Calvin Peterson was picked by Team 20 as the 926 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1853,13,Thomas Watt was added to Team 13.,2022-07-20 6:13:03 PM,
1854,13,Calvin Peterson was picked by Team 13 as the 927 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1855,23,Karel David was added to Team 23.,2022-07-20 6:13:03 PM,
1856,23,Henri Soucy was picked by Team 23 as the 928 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1857,14,Angus Beauregard was added to Team 14.,2022-07-20 6:13:03 PM,
1858,14,Henri Soucy was picked by Team 14 as the 929 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1859,21,Yves Thomson was added to Team 21.,2022-07-20 6:13:03 PM,
1860,21,Henri Soucy was picked by Team 21 as the 930 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1861,7,Reino Vaisanen was added to Team 7.,2022-07-20 6:13:03 PM,
1862,7,Henri Soucy was picked by Team 7 as the 931 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1863,15,Samvel Kurbanov was added to Team 15.,2022-07-20 6:13:03 PM,
1864,15,Henri Soucy was picked by Team 15 as the 932 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1865,2,Murray Comeau was added to Team 2.,2022-07-20 6:13:03 PM,
1866,2,Henri Soucy was picked by Team 2 as the 933 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1867,16,Jake Alexander was added to Team 16.,2022-07-20 6:13:03 PM,
1868,16,Henri Soucy was picked by Team 16 as the 934 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1869,1,Olli-Pekka Laine was added to Team 1.,2022-07-20 6:13:03 PM,
1870,1,Henri Soucy was picked by Team 1 as the 935 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1871,11,Chi Marquis was added to Team 11.,2022-07-20 6:13:03 PM,
1872,11,Henri Soucy was picked by Team 11 as the 936 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1873,11,Jean-Guy Landry was added to Team 11.,2022-07-20 6:13:03 PM,
1874,11,Otso Suutari was picked by Team 11 as the 937 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1875,1,Zoran Lehotsky was added to Team 1.,2022-07-20 6:13:03 PM,
1876,1,Otso Suutari was picked by Team 1 as the 938 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1877,16,Matthew Chabot was added to Team 16.,2022-07-20 6:13:03 PM,
1878,16,Otso Suutari was picked by Team 16 as the 939 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1879,2,Jarmo Pasanen was added to Team 2.,2022-07-20 6:13:03 PM,
1880,2,Otso Suutari was picked by Team 2 as the 940 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1881,15,Benjamin Brandt was added to Team 15.,2022-07-20 6:13:03 PM,
1882,15,Otso Suutari was picked by Team 15 as the 941 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1883,7,Jean-Yves Hicks was added to Team 7.,2022-07-20 6:13:03 PM,
1884,7,Otso Suutari was picked by Team 7 as the 942 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1885,21,Rusya Kovalenko was added to Team 21.,2022-07-20 6:13:03 PM,
1886,21,Otso Suutari was picked by Team 21 as the 943 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1887,14,Sivert Koch was added to Team 14.,2022-07-20 6:13:03 PM,
1888,14,Otso Suutari was picked by Team 14 as the 944 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1889,23,Edmund Zuniga was added to Team 23.,2022-07-20 6:13:03 PM,
1890,23,Otso Suutari was picked by Team 23 as the 945 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1891,13,Radko Horvath was added to Team 13.,2022-07-20 6:13:03 PM,
1892,13,Otso Suutari was picked by Team 13 as the 946 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1893,20,Maxime Rose was added to Team 20.,2022-07-20 6:13:03 PM,
1894,20,Otso Suutari was picked by Team 20 as the 947 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1895,4,Casey Hopkins was added to Team 4.,2022-07-20 6:13:03 PM,
1896,4,Otso Suutari was picked by Team 4 as the 948 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1897,24,Jody Meyer was added to Team 24.,2022-07-20 6:13:03 PM,
1898,24,Otso Suutari was picked by Team 24 as the 949 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1899,8,Lloyd Charest was added to Team 8.,2022-07-20 6:13:03 PM,
1900,8,Otso Suutari was picked by Team 8 as the 950 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1901,18,Jari Jovanovic was added to Team 18.,2022-07-20 6:13:03 PM,
1902,18,Otso Suutari was picked by Team 18 as the 951 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1903,22,Leonard Leonard was added to Team 22.,2022-07-20 6:13:03 PM,
1904,22,Otso Suutari was picked by Team 22 as the 952 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1905,9,Isaac Todd was added to Team 9.,2022-07-20 6:13:03 PM,
1906,9,Otso Suutari was picked by Team 9 as the 953 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1907,19,Dag Laine was added to Team 19.,2022-07-20 6:13:03 PM,
1908,19,Otso Suutari was picked by Team 19 as the 954 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1909,3,Kevin Farrell was added to Team 3.,2022-07-20 6:13:03 PM,
1910,3,Otso Suutari was picked by Team 3 as the 955 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1911,5,Grant Barnett was added to Team 5.,2022-07-20 6:13:03 PM,
1912,5,Otso Suutari was picked by Team 5 as the 956 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1913,17,Tommy Lamb was added to Team 17.,2022-07-20 6:13:03 PM,
1914,17,Otso Suutari was picked by Team 17 as the 957 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1915,12,Andre Lewis was added to Team 12.,2022-07-20 6:13:03 PM,
1916,12,Otso Suutari was picked by Team 12 as the 958 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1917,6,Peter Hornik was added to Team 6.,2022-07-20 6:13:03 PM,
1918,6,Elling Reenberg was picked by Team 6 as the 959 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1919,10,Ramis Kozlova was added to Team 10.,2022-07-20 6:13:03 PM,
1920,10,Elling Reenberg was picked by Team 10 as the 960 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1921,10,Graeme Thibodeau was added to Team 10.,2022-07-20 6:13:03 PM,
1922,10,Henri Soucy was picked by Team 10 as the 961 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1923,6,Duncan Archambault was added to Team 6.,2022-07-20 6:13:03 PM,
1924,6,Henri Soucy was picked by Team 6 as the 962 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1925,12,Emmanuel Singh was added to Team 12.,2022-07-20 6:13:03 PM,
1926,12,Henri Soucy was picked by Team 12 as the 963 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1927,17,Calvin Mackinnon was added to Team 17.,2022-07-20 6:13:03 PM,
1928,17,Henri Soucy was picked by Team 17 as the 964 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1929,5,Dennis Poirier was added to Team 5.,2022-07-20 6:13:03 PM,
1930,5,Henri Soucy was picked by Team 5 as the 965 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1931,3,Mikko Makynen was added to Team 3.,2022-07-20 6:13:03 PM,
1932,3,Henri Soucy was picked by Team 3 as the 966 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1933,19,Ismail Kazantseva was added to Team 19.,2022-07-20 6:13:03 PM,
1934,19,Henri Soucy was picked by Team 19 as the 967 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1935,9,Allan Albertsson was added to Team 9.,2022-07-20 6:13:03 PM,
1936,9,Henri Soucy was picked by Team 9 as the 968 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1937,22,Lewis Lambert was added to Team 22.,2022-07-20 6:13:03 PM,
1938,22,Henri Soucy was picked by Team 22 as the 969 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1939,18,Jack Gauthier was added to Team 18.,2022-07-20 6:13:03 PM,
1940,18,Henri Soucy was picked by Team 18 as the 970 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1941,8,Kari Mellgren was added to Team 8.,2022-07-20 6:13:03 PM,
1942,8,Henri Soucy was picked by Team 8 as the 971 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1943,24,Troy Wheeler was added to Team 24.,2022-07-20 6:13:03 PM,
1944,24,Henri Soucy was picked by Team 24 as the 972 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1945,4,Jacques Wolfe was added to Team 4.,2022-07-20 6:13:03 PM,
1946,4,Henri Soucy was picked by Team 4 as the 973 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1947,20,Travis Heath was added to Team 20.,2022-07-20 6:13:03 PM,
1948,20,Henri Soucy was picked by Team 20 as the 974 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1949,13,Shane Lamothe was added to Team 13.,2022-07-20 6:13:03 PM,
1950,13,Henri Soucy was picked by Team 13 as the 975 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1951,23,Marvin Everett was added to Team 23.,2022-07-20 6:13:03 PM,
1952,23,Henri Soucy was picked by Team 23 as the 976 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1953,14,Valerka Timoshenko was added to Team 14.,2022-07-20 6:13:03 PM,
1954,14,Henri Soucy was picked by Team 14 as the 977 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1955,21,Georgy Velichko was added to Team 21.,2022-07-20 6:13:03 PM,
1956,21,Henri Soucy was picked by Team 21 as the 978 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1957,7,Vsevolod Tyurina was added to Team 7.,2022-07-20 6:13:03 PM,
1958,7,Henri Soucy was picked by Team 7 as the 979 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1959,15,Ross Boone was added to Team 15.,2022-07-20 6:13:03 PM,
1960,15,Henri Soucy was picked by Team 15 as the 980 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1961,2,Steve Klassen was added to Team 2.,2022-07-20 6:13:03 PM,
1962,2,Henri Soucy was picked by Team 2 as the 981 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1963,16,Clint Boone was added to Team 16.,2022-07-20 6:13:03 PM,
1964,16,Henri Soucy was picked by Team 16 as the 982 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1965,1,Odd Ekblom was added to Team 1.,2022-07-20 6:13:03 PM,
1966,1,Henri Soucy was picked by Team 1 as the 983 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1967,11,Ebbe Kall was added to Team 11.,2022-07-20 6:13:03 PM,
1968,11,Henri Soucy was picked by Team 11 as the 984 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1969,11,Harvey Anthony was added to Team 11.,2022-07-20 6:13:03 PM,
1970,11,Henri Soucy was picked by Team 11 as the 985 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1971,1,Ranis Goncharova was added to Team 1.,2022-07-20 6:13:03 PM,
1972,1,Henri Soucy was picked by Team 1 as the 986 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1973,16,Brynjar Lynge was added to Team 16.,2022-07-20 6:13:03 PM,
1974,16,Henri Soucy was picked by Team 16 as the 987 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
1975,2,William Theriault was added to Team 2.,2022-07-20 6:13:03 PM,
1976,2,Wallace Flowers was picked by Team 2 as the 988 overall pick in the fantasy draft.,2022-07-20 6:13:03 PM,
