Number,Team,Transaction
2591,12,[2022-07-20 6:13:04 PM] - Ildus Kovalenko was added to Team 12.
2592,12,[2022-07-20 6:13:04 PM] - Calvin Peterson was picked by Team 12 as the 1296 overall pick in the fantasy draft.
2593,17,[2022-07-20 6:13:04 PM] - Hubert Funk was added to Team 17.
2594,17,[2022-07-20 6:13:04 PM] - Calvin Peterson was picked by Team 17 as the 1297 overall pick in the fantasy draft.
2595,5,[2022-07-20 6:13:04 PM] - Alvin Giles was added to Team 5.
2596,5,[2022-07-20 6:13:04 PM] - Calvin Peterson was picked by Team 5 as the 1298 overall pick in the fantasy draft.
2597,3,[2022-07-20 6:13:04 PM] - Ahmad Germain was added to Team 3.
2598,3,[2022-07-20 6:13:04 PM] - Calvin Peterson was picked by Team 3 as the 1299 overall pick in the fantasy draft.
2599,19,[2022-07-20 6:13:04 PM] - Robert Akerberg was added to Team 19.
2600,19,[2022-07-20 6:13:04 PM] - Wallace Flowers was picked by Team 19 as the 1300 overall pick in the fantasy draft.
2601,9,[2022-07-20 6:13:04 PM] - Vlastimir Michalikova was added to Team 9.
2602,9,[2022-07-20 6:13:04 PM] - Henri Soucy was picked by Team 9 as the 1301 overall pick in the fantasy draft.
2603,22,[2022-07-20 6:13:04 PM] - Vadim Rakhmetov was added to Team 22.
2604,22,[2022-07-20 6:13:04 PM] - Henri Soucy was picked by Team 22 as the 1302 overall pick in the fantasy draft.
2605,18,[2022-07-20 6:13:04 PM] - Abe Morissette was added to Team 18.
2606,18,[2022-07-20 6:13:04 PM] - Wallace Flowers was picked by Team 18 as the 1303 overall pick in the fantasy draft.
2607,8,[2022-07-20 6:13:04 PM] - Hubert Sparks was added to Team 8.
2608,8,[2022-07-20 6:13:04 PM] - Henri Soucy was picked by Team 8 as the 1304 overall pick in the fantasy draft.
2609,24,[2022-07-20 6:13:04 PM] - Arman Sorokina was added to Team 24.
2610,24,[2022-07-20 6:13:04 PM] - Wallace Flowers was picked by Team 24 as the 1305 overall pick in the fantasy draft.
2611,4,[2022-07-20 6:13:04 PM] - Spartak Tsygankova was added to Team 4.
2612,4,[2022-07-20 6:13:04 PM] - Henri Soucy was picked by Team 4 as the 1306 overall pick in the fantasy draft.
2613,20,[2022-07-20 6:13:04 PM] - Darren Chen was added to Team 20.
2614,20,[2022-07-20 6:13:04 PM] - Wallace Flowers was picked by Team 20 as the 1307 overall pick in the fantasy draft.
2615,13,[2022-07-20 6:13:04 PM] - Casey Riley was added to Team 13.
2616,13,[2022-07-20 6:13:04 PM] - Henri Soucy was picked by Team 13 as the 1308 overall pick in the fantasy draft.
2617,23,[2022-07-20 6:13:04 PM] - Karel Jasso was added to Team 23.
2618,23,[2022-07-20 6:13:04 PM] - Henri Soucy was picked by Team 23 as the 1309 overall pick in the fantasy draft.
2619,14,[2022-07-20 6:13:04 PM] - Sergei Yatskevich was added to Team 14.
2620,14,[2022-07-20 6:13:04 PM] - Wallace Flowers was picked by Team 14 as the 1310 overall pick in the fantasy draft.
2621,21,[2022-07-20 6:13:04 PM] - Aatos Elo was added to Team 21.
2622,21,[2022-07-20 6:13:04 PM] - Henri Soucy was picked by Team 21 as the 1311 overall pick in the fantasy draft.
2623,7,[2022-07-20 6:13:04 PM] - Erik Mikhaylovsky was added to Team 7.
2624,7,[2022-07-20 6:13:04 PM] - Wallace Flowers was picked by Team 7 as the 1312 overall pick in the fantasy draft.
2625,15,[2022-07-20 6:13:04 PM] - Herman Paul was added to Team 15.
2626,15,[2022-07-20 6:13:04 PM] - Henri Soucy was picked by Team 15 as the 1313 overall pick in the fantasy draft.
2627,2,[2022-07-20 6:13:04 PM] - Benny Young was added to Team 2.
2628,2,[2022-07-20 6:13:04 PM] - Wallace Flowers was picked by Team 2 as the 1314 overall pick in the fantasy draft.
2629,16,[2022-07-20 6:13:04 PM] - Jan-Erik Ostergren was added to Team 16.
2630,16,[2022-07-20 6:13:04 PM] - Henri Soucy was picked by Team 16 as the 1315 overall pick in the fantasy draft.
2631,1,[2022-07-20 6:13:04 PM] - Herman Warner was added to Team 1.
2632,1,[2022-07-20 6:13:04 PM] - Wallace Flowers was picked by Team 1 as the 1316 overall pick in the fantasy draft.
2633,11,[2022-07-20 6:13:04 PM] - Ivan Mcgrath was added to Team 11.
2634,11,[2022-07-20 6:13:04 PM] - Wallace Flowers was picked by Team 11 as the 1317 overall pick in the fantasy draft.
2635,3,[2022-07-21 6:35:29 PM] - Roch Jobin was released.
2636,21,[2022-07-21 6:35:29 PM] - Aatos Elo was released.
2637,19,[2022-07-21 6:35:29 PM] - Patrik Hedman was released.
2638,19,[2022-07-21 6:35:29 PM] - Rene Browning was released.
2639,8,[2022-07-21 6:35:29 PM] - Eugene Hanson was released.
2640,20,[2022-07-21 6:35:29 PM] - Eemil Tahvanainen was released.
2641,10,[2022-07-21 6:35:29 PM] - Jimmy Mooney was released.
2642,11,[2022-07-21 6:35:29 PM] - Shane Valencia was released.
2643,23,[2022-07-21 6:35:29 PM] - Jeremiah Bernard was released.
2644,3,[2022-07-21 6:35:29 PM] - Andreas Slovakova was released.
2645,17,[2022-07-21 6:35:29 PM] - Ivan Plante was released.
2646,7,[2022-07-21 6:35:29 PM] - Adrian Haley was released.
2647,7,[2022-07-21 6:35:29 PM] - Bradley Warren was released.
2648,5,[2022-07-21 6:35:29 PM] - Harry Miles was released.
2649,11,[2022-07-21 6:35:29 PM] - Wayne Christensen was released.
2650,1,[2022-07-21 6:35:29 PM] - Richard Moore was released.
2651,18,[2022-07-21 6:35:29 PM] - Jouko Jarvenpaa was released.
2652,19,[2022-07-21 6:35:29 PM] - Jack Duncan was released.
2653,19,[2022-07-21 6:35:29 PM] - Dan Scott was released.
2654,6,[2022-07-21 6:35:29 PM] - Milos Buday was released.
2655,6,[2022-07-21 6:35:29 PM] - Idris Kozyrev was released.
2656,12,[2022-07-21 6:35:29 PM] - Kris Wall was released.
2657,6,[2022-07-21 6:35:29 PM] - Cam Thomas was released.
2658,18,[2022-07-21 6:35:29 PM] - Oliver Dyck was released.
2659,8,[2022-07-21 6:35:29 PM] - Giovanni Klassen was released.
2660,10,[2022-07-21 6:35:29 PM] - Hans-Hermann Raab was released.
2661,16,[2022-07-21 6:35:29 PM] - Jake Alexander was released.
2662,6,[2022-07-21 6:35:29 PM] - Peter Hornik was released.
2663,16,[2022-07-21 6:35:29 PM] - Nazar Khilko was released.
2664,19,[2022-07-21 6:35:29 PM] - Dustin Small was released.
2665,3,[2022-07-21 6:35:29 PM] - Jules Taylor was released.
2666,9,[2022-07-21 6:35:29 PM] - Henri Daniels was released.
2667,16,[2022-07-21 6:35:29 PM] - Leonard Mcarthur was released.
2668,17,[2022-07-21 6:35:29 PM] - Salvador Kramer was released.
2669,19,[2022-07-21 6:35:29 PM] - Gilberto Howe was released.
2670,16,[2022-07-21 6:35:29 PM] - Demyan Lapteva was released.
2671,15,[2022-07-21 6:35:29 PM] - Salvador Weber was released.
2672,23,[2022-07-21 6:35:29 PM] - Nazim Shcherbakov was released.
2673,14,[2022-07-21 6:35:29 PM] - Carl Mende was released.
2674,8,[2022-07-21 6:35:29 PM] - Arthur Shepherd was released.
2675,14,[2022-07-21 6:35:29 PM] - Rudy Robles was released.
2676,5,[2022-07-21 6:35:29 PM] - Carlo Wegener was released.
2677,20,[2022-07-21 6:35:29 PM] - Barnabas Dobias was released.
2678,3,[2022-07-21 6:35:29 PM] - Lawrence Nichols was released.
2679,13,[2022-07-21 6:35:29 PM] - Carlo Legault was released.
2680,24,[2022-07-21 6:35:29 PM] - Herman Plamondon was released.
2681,15,[2022-07-21 6:35:29 PM] - Lorenzo Ortiz was released.
2682,9,[2022-07-21 6:35:29 PM] - Emmanuel Wise was released.
2683,9,[2022-07-21 6:35:29 PM] - Tyrone Zimmerman was released.
2684,6,[2022-07-21 6:35:29 PM] - Bradley Jacques was released.
2685,21,[2022-07-21 6:35:29 PM] - Hugo Sandhu was released.
2686,8,[2022-07-21 6:35:29 PM] - Darrell Plouffe was released.
2687,22,[2022-07-21 6:35:29 PM] - Jeremy Clarke was released.
2688,23,[2022-07-21 6:35:29 PM] - Yannick Cousineau was released.
2689,4,[2022-07-21 6:35:29 PM] - Bryan Miller was released.
2690,11,[2022-07-21 6:35:29 PM] - Garrett Kelley was released.
2691,15,[2022-07-21 6:35:29 PM] - Salvatore Pugh was released.
2692,18,[2022-07-21 6:35:29 PM] - Ari Jarvelainen was released.
2693,3,[2022-07-21 6:35:29 PM] - Aleksej Vershinin was released.
2694,9,[2022-07-21 6:35:29 PM] - Bertil Eklind was released.
2695,13,[2022-07-21 6:35:29 PM] - Rickey Cain was released.
2696,6,[2022-07-21 6:35:29 PM] - Wallace Flowers was released.
2697,7,[2022-07-21 6:35:29 PM] - Henri Soucy was released.
2698,11,[2022-07-21 6:35:29 PM] - Calvin Peterson was released.
2699,16,[2022-07-21 6:35:29 PM] - Elling Reenberg was released.
2700,3,[2022-07-21 6:35:29 PM] - Stuart Stafford was released.
2701,22,[2022-07-21 6:35:29 PM] - Max Lafleur was released.
2702,14,[2022-07-21 6:35:29 PM] - Rudolf Strakova was released.
2703,20,[2022-07-21 6:35:29 PM] - Andrzej Arseneault was released.
2704,23,[2022-07-21 6:35:29 PM] - Karel David was released.
2705,24,[2022-07-21 6:35:29 PM] - Vernon Kaur was released.
2706,13,[2022-07-21 6:35:29 PM] - Max Blackburn was released.
2707,19,[2022-07-21 6:35:29 PM] - Richard Lemay was released.
2708,17,[2022-07-21 6:35:29 PM] - Karim Morton was released.
2709,12,[2022-07-21 6:35:29 PM] - Brett Foster was released.
2710,11,[2022-07-21 6:35:29 PM] - Jean-Guy Landry was released.
2711,2,[2022-07-21 6:35:29 PM] - William Theriault was released.
2712,23,[2022-07-21 6:35:29 PM] - Ricky Lamontagne was released.
2713,2,[2022-07-21 6:35:29 PM] - Joshua Laporte was released.
2714,16,[2022-07-21 6:35:29 PM] - Omar Labonte was released.
2715,13,[2022-07-21 6:35:29 PM] - Jonathan Holland was released.
2716,15,[2022-07-21 6:35:29 PM] - Ayub Tikhomirov was released.
2717,8,[2022-07-21 6:35:29 PM] - Adel Sund was released.
2718,20,[2022-07-21 6:35:29 PM] - Normand Robertson was released.
2719,16,[2022-07-21 6:35:29 PM] - Wayne Chandler was released.
2720,6,[2022-07-21 6:35:29 PM] - Veeti Ahokas was released.
2721,5,[2022-07-21 6:35:29 PM] - Marik Borisenko was released.
2722,24,[2022-07-21 6:35:29 PM] - Heinz-Gunter Menzel was released.
2723,2,[2022-07-21 6:35:29 PM] - Wilson Watts was released.
2724,13,[2022-07-21 6:35:29 PM] - Rogelio May was released.
2725,12,[2022-07-21 6:35:29 PM] - Zelimkhan Artamonov was released.
2726,13,[2022-07-21 6:35:29 PM] - Rinat Sorokina was released.
2727,9,[2022-07-21 6:35:29 PM] - Lennart Eriksson was released.
2728,18,[2022-07-21 6:35:29 PM] - Les Colon was released.
2729,10,[2022-07-21 6:35:29 PM] - Cody Preston was released.
2730,12,[2022-07-21 6:35:29 PM] - Mathieu Anderson was released.
2731,15,[2022-07-21 6:35:29 PM] - Ahmad Haugstad was released.
2732,1,[2022-07-21 6:35:29 PM] - Kuka Sergeeva was released.
2733,23,[2022-07-21 6:35:29 PM] - Mohamed Mcguire was released.
2734,1,[2022-07-21 6:35:29 PM] - Alik Sadykov was released.
2735,24,[2022-07-21 6:35:29 PM] - Yan Sharma was released.
2736,2,[2022-07-21 6:35:29 PM] - Miska Kankare was released.
2737,20,[2022-07-21 6:35:29 PM] - Germain Phillips was released.
2738,21,[2022-07-21 6:35:29 PM] - Marcel Duval was released.
2739,7,[2022-07-21 6:35:29 PM] - Asker Evseev was released.
2740,21,[2022-07-21 6:35:29 PM] - Spencer Patton was released.
2741,4,[2022-07-21 6:35:29 PM] - Malcolm Trottier was released.
2742,4,[2022-07-21 6:35:29 PM] - Will Flynn was released.
2743,17,[2022-07-21 6:35:29 PM] - Ludvig Kjellgren was released.
2744,13,[2022-07-21 6:35:29 PM] - Mario Ross was released.
2745,4,[2022-07-21 6:35:29 PM] - Joseph Bruning was released.
2746,14,[2022-07-21 6:35:29 PM] - Jeremy Moreau was released.
2747,2,[2022-07-21 6:35:29 PM] - Hannu Haggblom was released.
2748,14,[2022-07-21 6:35:29 PM] - Vildan Goncharova was released.
2749,6,[2022-07-21 6:35:29 PM] - Salim Filimonova was released.
2750,13,[2022-07-21 6:35:29 PM] - Dale Horton was released.
2751,12,[2022-07-21 6:35:29 PM] - Kristen Thygesen was released.
2752,18,[2022-07-21 6:35:29 PM] - Chas Noel was released.
2753,10,[2022-07-21 6:35:29 PM] - Victor Hewitt was released.
2754,14,[2022-07-21 6:35:29 PM] - Dick Ball was released.
2755,1,[2022-07-21 6:35:29 PM] - Arpad Szabo was released.
2756,6,[2022-07-21 6:35:29 PM] - Ed Chernikov was released.
2757,17,[2022-07-21 6:35:29 PM] - Lee Todd was released.
2758,24,[2022-07-21 6:35:29 PM] - Steven Oliver was released.
2759,5,[2022-07-21 6:35:29 PM] - Mohammed Roberts was released.
2760,11,[2022-07-21 6:35:29 PM] - Fanis Ustinov was released.
2761,16,[2022-07-21 6:35:29 PM] - Vernon Tam was released.
2762,10,[2022-07-21 6:35:29 PM] - Marius Genet was released.
2763,6,[2022-07-21 6:35:29 PM] - Herbert Stanley was released.
2764,12,[2022-07-21 6:35:29 PM] - Tomi Huusko was released.
2765,11,[2022-07-21 6:35:29 PM] - Emil Lindskog was released.
2766,19,[2022-07-21 6:35:29 PM] - Arslan Korolyova was released.
2767,11,[2022-07-21 6:35:29 PM] - Viljo Heikkila was released.
2768,17,[2022-07-21 6:35:29 PM] - Ryan Tait was released.
2769,19,[2022-07-21 6:35:29 PM] - Brendan Martineau was released.
2770,19,[2022-07-21 6:35:29 PM] - Bernard Shields was released.
2771,17,[2022-07-21 6:35:29 PM] - Lauri Sihvonen was released.
2772,9,[2022-07-21 6:35:29 PM] - Magnus Ekblom was released.
2773,4,[2022-07-21 6:35:29 PM] - Ernesto Dougherty was released.
2774,3,[2022-07-21 6:35:29 PM] - Aarne Nordman was released.
2775,22,[2022-07-21 6:35:29 PM] - Matt Ortega was released.
2776,23,[2022-07-21 6:35:29 PM] - Niklas Nguyen was released.
2777,19,[2022-07-21 6:35:29 PM] - Kent Wickman was released.
2778,9,[2022-07-21 6:35:29 PM] - Arne Blom was released.
2779,18,[2022-07-21 6:35:29 PM] - Amir Falk was released.
2780,7,[2022-07-21 6:35:29 PM] - Benoit Robin was released.
2781,12,[2022-07-21 6:35:29 PM] - Calle Bjorn was released.
2782,12,[2022-07-21 6:35:29 PM] - Emmanuel Singh was released.
2783,16,[2022-07-21 6:35:29 PM] - Claude Muller was released.
2784,15,[2022-07-21 6:35:29 PM] - Martin Dufour was released.
2785,21,[2022-07-21 6:35:29 PM] - Joni Koljonen was released.
2786,19,[2022-07-21 6:35:29 PM] - Ove Bogren was released.
2787,3,[2022-07-21 6:35:29 PM] - Gabriel Faucher was released.
2788,24,[2022-07-21 6:35:29 PM] - Maxime Schmidt was released.
2789,17,[2022-07-21 6:35:29 PM] - Lawrence Morrow was released.
2790,18,[2022-07-21 6:35:29 PM] - Robt Rose was released.
2791,8,[2022-07-21 6:35:29 PM] - Axel Reinholdsson was released.
2792,16,[2022-07-21 6:35:29 PM] - Hugh Lomas was released.
2793,14,[2022-07-21 6:35:29 PM] - Nicolas Bachmann was released.
2794,2,[2022-07-21 6:35:29 PM] - Kris Begin was released.
2795,11,[2022-07-21 6:35:29 PM] - Ivan Mcgrath was released.
2796,5,[2022-07-21 6:35:29 PM] - Auvo Poutanen was released.
2797,15,[2022-07-21 6:35:29 PM] - Derrick Graham was released.
2798,7,[2022-07-21 6:35:29 PM] - Mario Villeneuve was released.
2799,16,[2022-07-21 6:35:29 PM] - Jan-Erik Ostergren was released.
2800,2,[2022-07-21 6:35:29 PM] - Rene Pankova was released.
2801,19,[2022-07-21 6:35:29 PM] - Steven Joseph was released.
2802,18,[2022-07-21 6:35:29 PM] - Rich Martin was released.
2803,9,[2022-07-21 6:35:29 PM] - Christian Dixon was released.
2804,4,[2022-07-21 6:35:29 PM] - Mattias Wikman was released.
2805,6,[2022-07-21 6:35:29 PM] - Lev Reshetnikov was released.
2806,14,[2022-07-21 6:35:29 PM] - Jesse Eklund was released.
2807,9,[2022-07-21 6:35:29 PM] - Gustav Sedlak was released.
2808,6,[2022-07-21 6:35:29 PM] - Bertrand Brooks was released.
2809,2,[2022-07-21 6:35:29 PM] - Kurt Stark was released.
2810,21,[2022-07-21 6:35:29 PM] - Dustin Lacombe was released.
2811,13,[2022-07-21 6:35:29 PM] - Levon Eremeev was released.
2812,23,[2022-07-21 6:35:29 PM] - Mathias Reinke was released.
2813,8,[2022-07-21 6:35:29 PM] - Morris Dueck was released.
2814,4,[2022-07-21 6:35:29 PM] - Patrick Mackinnon was released.
2815,15,[2022-07-21 6:35:29 PM] - Mohammed Brady was released.
2816,10,[2022-07-21 6:35:29 PM] - Claes-Goran Muller was released.
2817,19,[2022-07-21 6:35:29 PM] - Dag Laine was released.
2818,17,[2022-07-21 6:35:29 PM] - Andrew Bar was released.
2819,4,[2022-07-21 6:35:29 PM] - Samuli Nikkanen was released.
2820,20,[2022-07-21 6:35:29 PM] - Gavin Barr was released.
2821,8,[2022-07-21 6:35:29 PM] - Michael Hovgaard was released.
2822,14,[2022-07-21 6:35:29 PM] - Steven Sutton was released.
2823,12,[2022-07-21 6:35:29 PM] - Gote Norrby was released.
2824,12,[2022-07-21 6:35:29 PM] - Warren Schroeder was released.
2825,24,[2022-07-21 6:35:29 PM] - Pat Ford was released.
2826,6,[2022-07-21 6:35:29 PM] - Duncan Archambault was released.
2827,8,[2022-07-21 6:35:29 PM] - Yu Burgess was released.
2828,5,[2022-07-21 6:35:29 PM] - Dennis Poirier was released.
2829,15,[2022-07-21 6:35:29 PM] - Evan Macpherson was released.
2830,17,[2022-07-21 6:35:29 PM] - Jesse Kekki was released.
2831,18,[2022-07-21 6:35:29 PM] - Serafim Aleksandrovich was released.
2832,24,[2022-07-21 6:35:29 PM] - Arman Sorokina was released.
2833,9,[2022-07-21 6:35:29 PM] - Steven Kent was released.
2834,23,[2022-07-21 6:35:29 PM] - Benjamin Mullins was released.
2835,15,[2022-07-21 6:35:29 PM] - Frederick Wolfe was released.
2836,12,[2022-07-21 6:35:29 PM] - Adrian Talbot was released.
2837,17,[2022-07-21 6:35:29 PM] - Dietmar Seidel was released.
2838,11,[2022-07-21 6:35:29 PM] - Isaac Villeneuve was released.
2839,2,[2022-07-21 6:35:29 PM] - Lloyd Costa was released.
2840,1,[2022-07-21 6:35:29 PM] - Juha-Matti Moisio was released.
2841,21,[2022-07-21 6:35:29 PM] - Erling Hedlund was released.
2842,1,[2022-07-21 6:35:29 PM] - Robt Macneil was released.
2843,4,[2022-07-21 6:35:29 PM] - Rustam Valiev was released.
2844,24,[2022-07-21 6:35:29 PM] - Gaetan English was released.
2845,17,[2022-07-21 6:35:29 PM] - Andrej Conka was released.
2846,2,[2022-07-21 6:35:29 PM] - Dwayne Parker was released.
2847,24,[2022-07-21 6:35:29 PM] - Martin Cantu was released.
2848,11,[2022-07-21 6:35:29 PM] - Remi Robert was released.
2849,9,[2022-07-21 6:35:29 PM] - Jared Long was released.
2850,19,[2022-07-21 6:35:29 PM] - Karim Clement was released.
2851,13,[2022-07-21 6:35:30 PM] - Len Mcmillan was released.
2852,8,[2022-07-21 6:35:30 PM] - Glenn Bourgeois was released.
2853,15,[2022-07-21 6:35:30 PM] - Goran Broberg was released.
2854,9,[2022-07-21 6:35:30 PM] - Jean-Louis Matthews was released.
2855,2,[2022-07-21 6:35:30 PM] - Ghislain Gilbert was released.
2856,10,[2022-07-21 6:35:30 PM] - Roman Lukin was released.
2857,24,[2022-07-21 6:35:30 PM] - Stewart Perry was released.
2858,16,[2022-07-21 6:35:30 PM] - Pavel Zotova was released.
2859,19,[2022-07-21 6:35:30 PM] - Ismail Kazantseva was released.
2860,10,[2022-07-21 6:35:30 PM] - Randolph Ingram was released.
2861,4,[2022-07-21 6:35:30 PM] - Felipe Washington was released.
2862,6,[2022-07-21 6:35:30 PM] - Mohammed Krook was released.
2863,13,[2022-07-21 6:35:30 PM] - Gregory Clarke was released.
2864,1,[2022-07-21 6:35:30 PM] - Stefan Vavrova was released.
2865,11,[2022-07-21 6:35:30 PM] - Ratmir Grishin was released.
2866,21,[2022-07-21 6:35:30 PM] - Chad Kaiser was released.
2867,16,[2022-07-21 6:35:30 PM] - Arslan Agafonov was released.
2868,4,[2022-07-21 6:35:30 PM] - Stefan Kucherenko was released.
2869,10,[2022-07-21 6:35:30 PM] - Hendrik Bosch was released.
2870,6,[2022-07-21 6:35:30 PM] - Seth Akerlund was released.
2871,14,[2022-07-21 6:35:30 PM] - Kai Chouinard was released.
2872,11,[2022-07-21 6:35:30 PM] - Mitch Lewis was released.
2873,16,[2022-07-21 6:35:30 PM] - Valto Siren was released.
2874,13,[2022-07-21 6:35:30 PM] - Romeo Piche was released.
2875,23,[2022-07-21 6:35:30 PM] - Ludwig Melander was released.
2876,24,[2022-07-21 6:35:30 PM] - Aloys Niemann was released.
2877,17,[2022-07-21 6:35:30 PM] - Sergei Heinanen was released.
2878,18,[2022-07-21 6:35:30 PM] - Wallace Klassen was released.
2879,16,[2022-07-21 6:35:30 PM] - Fred Pacheco was released.
2880,4,[2022-07-21 6:35:30 PM] - Jared Turcotte was released.
2881,3,[2022-07-21 6:35:30 PM] - Clas Dahlqvist was released.
2882,2,[2022-07-21 6:35:30 PM] - Kenneth Pearson was released.
2883,10,[2022-07-21 6:35:30 PM] - Josh Caldwell was released.
2884,22,[2022-07-21 6:35:30 PM] - Aaro Korkiakoski was released.
2885,22,[2022-07-21 6:35:30 PM] - Pascal Gervais was released.
2886,14,[2022-07-21 6:35:30 PM] - Alex Ringstrom was released.
2887,22,[2022-07-21 6:35:30 PM] - Vadim Rakhmetov was released.
2888,3,[2022-07-21 6:35:30 PM] - Gilberto Stephens was released.
2889,16,[2022-07-21 6:35:30 PM] - Isto Paivarinta was released.
2890,22,[2022-07-21 6:35:30 PM] - Wallace Collins was released.
2891,17,[2022-07-21 6:35:30 PM] - Jean-Marie Corbett was released.
2892,6,[2022-07-21 6:35:30 PM] - Cory Terrell was released.
2893,20,[2022-07-21 6:35:30 PM] - Jean-Pierre Noel was released.
2894,22,[2022-07-21 6:35:30 PM] - Bruno Baldwin was released.
2895,10,[2022-07-21 6:35:30 PM] - Carl Sahlen was released.
2896,1,[2022-07-21 6:35:30 PM] - Ilez Koval was released.
2897,10,[2022-07-21 6:35:30 PM] - Denik Bondarev was released.
2898,24,[2022-07-21 6:35:30 PM] - Sammy Sexton was released.
2899,11,[2022-07-21 6:35:30 PM] - Erich Jansa was released.
2900,20,[2022-07-21 6:35:30 PM] - Wally Mckenna was released.
2901,1,[2022-07-21 6:35:30 PM] - Eugene Fortin was released.
2902,11,[2022-07-21 6:35:30 PM] - Jake Paradis was released.
2903,11,[2022-07-21 6:35:30 PM] - Tommy Davidson was released.
2904,3,[2022-07-21 6:35:30 PM] - Julian Lowe was released.
2905,5,[2022-07-21 6:35:30 PM] - William Gagne was released.
2906,18,[2022-07-21 6:35:30 PM] - Stanley Wagner was released.
2907,17,[2022-07-21 6:35:30 PM] - Mikael Tapper was released.
2908,23,[2022-07-21 6:35:30 PM] - Philip Garner was released.
2909,22,[2022-07-21 6:35:30 PM] - Jeff Pouliot was released.
2910,2,[2022-07-21 6:35:30 PM] - Chad Thomas was released.
2911,14,[2022-07-21 6:35:30 PM] - Angus Beauregard was released.
2912,7,[2022-07-21 6:35:30 PM] - Fernand Wong was released.
2913,12,[2022-07-21 6:35:30 PM] - Sheldon Vaillancourt was released.
2914,24,[2022-07-21 6:35:30 PM] - Darryl Hoffman was released.
2915,20,[2022-07-21 6:35:30 PM] - Jaromir Capkova was released.
2916,19,[2022-07-21 6:35:30 PM] - Gustave Guignard was released.
2917,3,[2022-07-21 6:35:30 PM] - Jack Rice was released.
2918,24,[2022-07-21 6:35:30 PM] - Edin Thorsell was released.
2919,20,[2022-07-21 6:35:30 PM] - Knut Wennberg was released.
2920,22,[2022-07-21 6:35:30 PM] - Edward Akerberg was released.
2921,24,[2022-07-21 6:35:30 PM] - Jody Meyer was released.
2922,24,[2022-07-21 6:35:30 PM] - Pat Provencher was released.
2923,3,[2022-07-21 6:35:30 PM] - Mark Mossberg was released.
2924,7,[2022-07-21 6:35:30 PM] - Fernand Leclerc was released.
2925,7,[2022-07-21 6:35:30 PM] - Kurt Cote was released.
2926,22,[2022-07-21 6:35:30 PM] - Juho Makela was released.
2927,3,[2022-07-21 6:35:30 PM] - Or Owen was released.
2928,8,[2022-07-21 6:35:30 PM] - Carlos Wallace was released.
2929,10,[2022-07-21 6:35:30 PM] - Sergei Sergeevich was released.
2930,20,[2022-07-21 6:35:30 PM] - Stephen Fernandes was released.
2931,6,[2022-07-21 6:35:30 PM] - Daniel Labonte was released.
2932,10,[2022-07-21 6:35:30 PM] - Graeme Thibodeau was released.
2933,13,[2022-07-21 6:35:30 PM] - Les Blais was released.
2934,21,[2022-07-21 6:35:30 PM] - Ahti Tuononen was released.
2935,12,[2022-07-21 6:35:30 PM] - Lucien Morrow was released.
2936,21,[2022-07-21 6:35:30 PM] - Wes Lavoie was released.
2937,12,[2022-07-21 6:35:30 PM] - Bislan Firsova was released.
2938,15,[2022-07-21 6:35:30 PM] - Bernard Hansen was released.
2939,10,[2022-07-21 6:35:30 PM] - Sampsa Viinikainen was released.
2940,11,[2022-07-21 6:35:30 PM] - Guy Navarro was released.
2941,7,[2022-07-21 6:35:30 PM] - Remi Cousineau was released.
2942,8,[2022-07-21 6:35:30 PM] - Hubert Sparks was released.
2943,18,[2022-07-21 6:35:30 PM] - Graeme Larson was released.
2944,21,[2022-07-21 6:35:30 PM] - Barry Sampson was released.
2945,6,[2022-07-21 6:35:30 PM] - Bruce Veilleux was released.
2946,21,[2022-07-21 6:35:30 PM] - Jeffrey Morrison was released.
2947,21,[2022-07-21 6:35:30 PM] - Dale Jean was released.
2948,2,[2022-07-21 6:35:30 PM] - Keith Mckenzie was released.
2949,2,[2022-07-21 6:35:30 PM] - Samuel Reid was released.
2950,17,[2022-07-21 6:35:30 PM] - Tino Niemi was released.
2951,13,[2022-07-21 6:35:30 PM] - Oliver Harding was released.
2952,2,[2022-07-21 6:35:30 PM] - Rustik Fedoseeva was released.
2953,16,[2022-07-21 6:35:30 PM] - Ghislain Perron was released.
2954,3,[2022-07-21 6:35:30 PM] - Ahmet Edvinsson was released.
2955,5,[2022-07-21 6:35:30 PM] - Grant Barnett was released.
2956,17,[2022-07-21 6:35:30 PM] - Calvin Mackinnon was released.
2957,19,[2022-07-21 6:35:30 PM] - Javier Howard was released.
2958,22,[2022-07-21 6:35:30 PM] - Tim Marcoux was released.
2959,22,[2022-07-21 6:35:30 PM] - Jose Graham was released.
2960,2,[2022-07-21 6:35:30 PM] - Andre Haas was released.
2961,22,[2022-07-21 6:35:30 PM] - Leonard Leonard was released.
2962,4,[2022-07-21 6:35:30 PM] - Arturo Branch was released.
2963,19,[2022-07-21 6:35:30 PM] - Evert Falck was released.
2964,9,[2022-07-21 6:35:30 PM] - Vince Bryant was released.
2965,19,[2022-07-21 6:35:30 PM] - Max Mcguire was released.
2966,18,[2022-07-21 6:35:30 PM] - Reginald Ewing was released.
2967,14,[2022-07-21 6:35:30 PM] - Alain Howell was released.
2968,5,[2022-07-21 6:35:30 PM] - Norm Laliberte was released.
2969,7,[2022-07-21 6:35:30 PM] - Howard Durocher was released.
2970,16,[2022-07-21 6:35:30 PM] - Tobias Smatana was released.
